COMID,REGIONID,WETTED_WIDTH_M
1710948,Region01,7.58
1712270,Region01,4.66
1713180,Region01,3.3
1711702,Region01,0
1713092,Region01,31.68
1711190,Region01,5.71
1711876,Region01,0
1711648,Region01,0
1710892,Region01,13.77
1712434,Region01,0
1713350,Region01,0
1711456,Region01,3.67
1712170,Region01,15.51
1712162,Region01,16.42
1713316,Region01,3.93
1713070,Region01,3.44
1712818,Region01,53.86
1711622,Region01,0
1711760,Region01,50.99
1711156,Region01,51.17
1710956,Region01,12.58
1711576,Region01,0
1713084,Region01,31.27
1713058,Region01,31.9
1713010,Region01,10.27
1711040,Region01,30.43
1711724,Region01,0
1712202,Region01,5.47
1712978,Region01,5.39
1712164,Region01,24.68
1712174,Region01,24.26
1712172,Region01,25.8
1712322,Region01,0
1711822,Region01,0
1711836,Region01,0
1711712,Region01,51.14
1711720,Region01,51.11
1710946,Region01,8.72
1715124,Region01,52.64
1711802,Region01,0
1712822,Region01,12.33
1712786,Region01,6.56
1715116,Region01,32.98
1713102,Region01,30.73
1711528,Region01,5.53
1711178,Region01,6.71
1711894,Region01,6.92
1713404,Region01,0
1711484,Region01,5.44
1713526,Region01,5.71
1713184,Region01,5.85
1712180,Region01,25.81
1711210,Region01,3.46
1711194,Region01,3.69
1711450,Region01,5.17
1711184,Region01,3.57
1711806,Region01,0
1711446,Region01,4.2
1711012,Region01,12.51
1712950,Region01,3.51
1711098,Region01,5.33
1710938,Region01,6.86
1711274,Region01,6.57
1712890,Region01,3.69
1712954,Region01,3.11
1712948,Region01,4.28
1711192,Region01,6.92
1711052,Region01,10.57
1711048,Region01,10.68
1711038,Region01,11.83
1711014,Region01,13.34
1712264,Region01,5.28
1713072,Region01,6.32
1710926,Region01,5.93
1712984,Region01,4.53
1710952,Region01,15.89
1712182,Region01,24.82
1712242,Region01,35.22
1712238,Region01,36.09
1712312,Region01,5.01
1711198,Region01,3.01
1713414,Region01,6.31
1711104,Region01,51.21
1711650,Region01,0
1711270,Region01,12.79
1713422,Region01,0
1711008,Region01,17.59
1710976,Region01,18.68
1710974,Region01,20.73
1710966,Region01,22.46
1711572,Region01,0
1711232,Region01,5.84
1711226,Region01,5.9
1712968,Region01,5.76
1713000,Region01,3.6
1712230,Region01,37.49
1712220,Region01,38.45
1712224,Region01,38.97
1710950,Region01,40.78
1710868,Region01,3.6
1712840,Region01,53.77
1711080,Region01,28.99
1711756,Region01,51.03
1711244,Region01,12.91
1711228,Region01,18.8
1711800,Region01,0
1711174,Region01,3.71
1711224,Region01,5.08
1713198,Region01,3.42
1710970,Region01,22.05
1712932,Region01,5.03
1711884,Region01,0
1713186,Region01,6.46
1713304,Region01,3.67
1712216,Region01,5.47
1710914,Region01,7.88
1711010,Region01,25.31
1710996,Region01,12.62
1715120,Region01,6
1711518,Region01,6.9
1711710,Region01,51.04
1711798,Region01,0
1711236,Region01,19.45
1711250,Region01,19.61
1711238,Region01,18.96
1713524,Region01,21.43
1711214,Region01,7.91
1711220,Region01,8.07
1712962,Region01,3.11
1711880,Region01,0
1711212,Region01,3.3
1713318,Region01,7.28
1712886,Region01,4.88
1712420,Region01,0
1712970,Region01,5.72
1713490,Region01,0
1711794,Region01,0
1712204,Region01,7.59
1713154,Region01,6.87
1712808,Region01,3
1711452,Region01,5.13
1713202,Region01,5.12
1712814,Region01,6.65
1711056,Region01,10.16
1711814,Region01,0
1712836,Region01,21.26
1713482,Region01,0
1713464,Region01,3.41
1713314,Region01,4.17
1713508,Region01,0
1713512,Region01,0
1713164,Region01,6.27
1711116,Region01,28.14
1713160,Region01,0
1710928,Region01,6.04
1713400,Region01,0
1713152,Region01,3.44
1712412,Region01,0
1712190,Region01,6.98
1712860,Region01,54.75
1711768,Region01,9.21
1710872,Region01,5.11
1713182,Region01,4.35
1711018,Region01,27.68
1711658,Region01,0
1712266,Region01,5.36
1712250,Region01,7.05
1712246,Region01,7.11
1712218,Region01,4.63
1711248,Region01,5.09
1711234,Region01,5.99
1711774,Region01,0
1712936,Region01,5.83
1712196,Region01,7.71
1712200,Region01,8.38
1711558,Region01,0
1711094,Region01,27.91
1711494,Region01,5.41
1711092,Region01,50.95
1711022,Region01,10.25
1710894,Region01,13.58
1710984,Region01,14.47
1711264,Region01,20.29
1712850,Region01,23.06
1712888,Region01,23.48
1712894,Region01,25.25
1712214,Region01,6.5
1712302,Region01,8.36
1712404,Region01,0
1712122,Region01,4.52
1712128,Region01,7.81
1711144,Region01,5.62
1713036,Region01,6.08
1713472,Region01,4.96
1711470,Region01,6.46
1710900,Region01,8.37
1710908,Region01,14.03
1713510,Region01,0
1711066,Region01,26.95
