"Species","Equilibrium","Periodic","Opportunist","GameFish","HUC01","HUC02","HUC03","HUC04","HUC05","HUC06","HUC07","HUC08","HUC09","HUC10","HUC11","HUC12","HUC13","HUC14","HUC15","HUC16","HUC17","HUC18"
"Hesperoleucus symmetricus",0,0.437781749395012,0.560867379266272,"Non-game","","","","","","","","","","","","","","","","","","Non-native"
"Heterandria formosa",0,0,0.999066319066285,"Non-game","","","Native","","","","","","","","","","","","","","",""
"Hiodon alosoides",0.083499437833014,0.665016164025676,0.250055917084861,"Non-game","","","","","","","Non-native","Native","Native","Non-native","","","","","","","",""
"Hiodon tergisus",0.0169132472432334,0.638583141149234,0.343081186013231,"Non-game","","","","","Native","","","Native","","Non-native","","","","","","","",""
"Hybognathus argyritis",0.0835463343507807,0.399132326735993,0.515989246022236,"Non-game","","","","","","","","","","Non-native","","","","","","","",""
"Hybognathus hankinsoni",0.0571169509976592,0.406595114048386,0.534953237796709,"Non-game","","","","Non-native","","","Non-native","","Non-native","Non-native","","","","","","","",""
"Hybognathus nuchalis",0.0759386529426745,0.392461316738823,0.530267582725232,"Non-game","","","","","Native","","Native","Native","","","","","","","","","",""
"Hybognathus placitus",0.0986412474431172,0.386689492194338,0.513344926280711,"Non-game","","","","","","","","","","Native","Native","Native","Non-native","","","","",""
"Hybognathus regius",0.0128693571910095,0.425327090315169,0.560453558650642,"Non-game","Non-native","Native","Native","","","","","","","","","","","","","","",""
"Hybopsis amblops",0.0723071496311336,0.410538093152126,0.515813005261473,"Non-game","","","","","Native","Native","Non-native","","","","Native","","","","","","",""
"Hybopsis hypsinotus",0.00865368157232694,0.470070017048825,0.519905666546565,"Non-game","","","Native","","","","","","","","","","","","","","",""
"Hybopsis lineapunctata",0.0914718381760026,0.392302752448914,0.514893559676937,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Hypentelium etowanum",0.324285339292813,0.427683056470988,0.246712513654052,"Non-game","","","Native","","","","","Non-native","","","","","","","","","",""
"Hypentelium nigricans",0.39256180862517,0.3626800160766,0.24346985681539,"Non-game","","Non-native","Non-native","Native","Native","Native","Native","Native","","Non-native","Native","","","","","","",""
"Hypophthalmichthys nobilis",0,0.785152379374988,0.213386726198288,"Non-game","","","","","","","","Non-native","","Non-native","","","","","","","",""
"Ichthyomyzon castaneus",0.659172623765177,0.140455681181692,0.199231721631543,"Non-game","","","Native","Non-native","Non-native","Native","Native","Non-native","Non-native","Native","Native","","","","","","",""
"Ichthyomyzon fossor",0.667095299828953,0.0163095812303117,0.3155065317652,"Non-game","","","","Native","","","Non-native","","Non-native","Native","","","","","","","",""
"Ichthyomyzon gagei",0.648494671697601,0.0112731846866154,0.339144234970957,"Non-game","","","Native","","","Non-native","","Non-native","","","Native","Native","","","","","",""
"Ichthyomyzon greeleyi",0.656934409849771,0.0309554945563956,0.311015445097198,"Non-game","","","","","","Non-native","","","","","","","","","","","",""
"Ichthyomyzon unicuspis",0.664798165341181,0.14561912258438,0.188441587547448,"Non-game","","","","Non-native","","","Native","","Native","","","","","","","","",""
"Ictalurus furcatus",0.361721893860318,0.586166879030225,0.0507517560621963,"Game","","","","","","","","Native","","","Non-native","Non-native","","","","","",""
