"Scientific.Name","HUC2","Native"
"Micropterus.salmoides","05","Non-native"
"Micropterus.salmoides","09","Non-native"
"Micropterus.salmoides","10","Non-native"
"Micropterus.salmoides","11","Non-native"
"Micropterus.salmoides","14","Non-native"
"Micropterus.salmoides","15","Non-native"
"Micropterus.salmoides","16","Non-native"
"Micropterus.salmoides","17","Non-native"
"Micropterus.salmoides","18","Non-native"
"Micropterus.treculii","12","Non-native"
"Misgurnus.anguillicaudatus","03","Non-native"
"Misgurnus.anguillicaudatus","07","Non-native"
"Misgurnus.anguillicaudatus","17","Non-native"
"Morone.americana","04","Non-native"
"Morone.americana","10","Non-native"
"Morone.americana","11","Non-native"
"Morone.chrysops","03","Non-native"
"Morone.chrysops","05","Non-native"
"Morone.chrysops","07","Non-native"
"Morone.chrysops","09","Non-native"
"Morone.chrysops","10","Non-native"
"Morone.chrysops","11","Non-native"
"Morone.chrysops","12","Non-native"
"Morone.chrysops","13","Non-native"
"Morone.chrysops","16","Non-native"
"Morone.saxatilis","05","Non-native"
"Morone.saxatilis","10","Non-native"
"Morone.saxatilis","11","Non-native"
"Morone.saxatilis","16","Non-native"
"Morone.saxatilis","18","Non-native"
"Moxostoma.anisurum","03","Non-native"
"Moxostoma.anisurum","04","Non-native"
"Moxostoma.anisurum","09","Non-native"
"Moxostoma.carinatum","04","Non-native"
"Moxostoma.carinatum","05","Non-native"
"Moxostoma.cervinum","02","Non-native"
"Moxostoma.cervinum","05","Non-native"
"Moxostoma.collapsum","03","Non-native"
"Moxostoma.congestum","12","Non-native"
"Moxostoma.erythrurum","02","Non-native"
"Moxostoma.erythrurum","04","Non-native"
"Moxostoma.erythrurum","07","Non-native"
"Moxostoma.erythrurum","09","Non-native"
"Moxostoma.erythrurum","10","Non-native"
"Moxostoma.erythrurum","11","Non-native"
"Moxostoma.lachneri","03","Non-native"
"Moxostoma.macrolepidotum","02","Non-native"
"Moxostoma.macrolepidotum","05","Non-native"
"Moxostoma.macrolepidotum","07","Non-native"
"Moxostoma.macrolepidotum","09","Non-native"
"Moxostoma.macrolepidotum","10","Non-native"
"Moxostoma.macrolepidotum","11","Non-native"
"Moxostoma.pappillosum","03","Non-native"
"Moxostoma.poecilurum","03","Non-native"
"Moxostoma.poecilurum","08","Non-native"
"Moxostoma.poecilurum","12","Non-native"
"Moxostoma.rupiscartes","03","Non-native"
"Moxostoma.valenciennesi","07","Non-native"
"Mugil.cephalus","03","Non-native"
