"SampleID","Npass"
"BDB-000032292",1
"BDB-000032293",1
"BDB-000032346",1
"BDB-000032347",1
"BDB-000032354",1
"BDB-000032355",1
"BDB-000032356",1
"BDB-000032362",1
"BDB-000032363",1
"BDB-000032366",1
"BDB-000032367",1
"BDB-000032369",1
"BDB-000032370",1
"BDB-000032371",1
"BDB-000032372",1
"BDB-000032373",1
"BDB-000032374",1
"BDB-000032376",1
"BDB-000032377",2
"BDB-000032378",2
"BDB-000032379",2
"BDB-000032380",2
"BDB-000032381",2
"BDB-000032382",2
"BDB-000032383",1
"BDB-000032384",2
"BDB-000032386",2
"BDB-000032387",2
"BDB-000032388",2
"BDB-000032390",2
"BDB-000032392",2
"BDB-000032393",2
"BDB-000032395",3
"BDB-000032396",2
"BDB-000032397",2
"BDB-000032398",2
"BDB-000032399",3
"BDB-000032402",1
"BDB-000032403",1
"BDB-000032404",1
"BDB-000032405",1
"BDB-000032406",1
"BDB-000032407",1
"BDB-000032408",2
"BDB-000032409",2
"BDB-000032410",2
"BDB-000032411",2
"BDB-000032412",1
"BDB-000032413",1
"BDB-000032414",1
"BDB-000032415",2
"BDB-000032417",1
"BDB-000032419",1
"BDB-000032420",2
"BDB-000032421",2
"BDB-000032464",2
"BDB-000032465",2
"BDB-000032466",1
"BDB-000032467",2
"BDB-000032475",2
"BDB-000032476",2
"BDB-000032477",2
"BDB-000032478",2
"BDB-000032485",2
"BDB-000032488",2
"BDB-000032489",2
"BDB-000032490",2
"BDB-000032491",2
"BDB-000032492",2
"BDB-000032493",2
"BDB-000032494",2
"BDB-000032495",2
"BDB-000032496",2
"BDB-000032497",2
"BDB-000032508",1
"BDB-000032509",1
"BDB-000032510",1
"BDB-000032511",1
"BDB-000032512",1
"BDB-000032513",1
"BDB-000032514",1
"BDB-000032515",1
"BDB-000032516",1
"BDB-000032517",1
"BDB-000032518",1
"BDB-000032519",1
"BDB-000032520",1
"BDB-000032521",1
"BDB-000032522",1
"BDB-000032523",1
"BDB-000032524",1
"BDB-000032525",1
"BDB-000032526",1
"BDB-000032527",1
"BDB-000032528",1
"BDB-000032529",1
"BDB-000032530",1
"BDB-000032531",1
"BDB-000032532",1
"BDB-000032533",1
"BDB-000032534",4
"BDB-000032535",1
"BDB-000032536",1
"BDB-000032596",2
"BDB-000032597",2
"BDB-000032599",2
"BDB-000032637",1
"BDB-000032638",1
"BDB-000032639",2
"BDB-000032640",2
"BDB-000032642",1
"BDB-000032659",1
"BDB-000032661",1
"BDB-000032662",1
"BDB-000032663",1
"BDB-000032664",1
"BDB-000032665",1
"BDB-000032666",1
"BDB-000032667",1
"BDB-000032668",1
"BDB-000032669",1
"BDB-000032670",1
"BDB-000032671",1
"BDB-000032672",1
"BDB-000032673",1
"BDB-000032674",1
"BDB-000032676",1
"BDB-000032677",1
"BDB-000032678",1
"BDB-000032679",1
"BDB-000032680",1
"BDB-000032681",1
"BDB-000032682",1
"BDB-000032683",1
"BDB-000032684",1
"BDB-000032685",1
"BDB-000032686",2
"BDB-000032687",2
"BDB-000032728",1
"BDB-000032729",1
"BDB-000032730",1
"BDB-000032731",2
"BDB-000032733",3
"BDB-000032735",2
"BDB-000032736",1
"BDB-000032737",1
"BDB-000032738",1
"BDB-000032739",1
"BDB-000032740",1
"BDB-000032741",1
"BDB-000032742",1
"BDB-000032744",1
"BDB-000032745",2
"BDB-000032746",1
"BDB-000032747",1
"BDB-000032748",1
"BDB-000032749",1
"BDB-000032750",1
"BDB-000032751",1
"BDB-000032752",2
"BDB-000032753",2
"BDB-000032754",2
"BDB-000032755",2
"BDB-000032756",1
"BDB-000032757",2
"BDB-000032758",2
"BDB-000032759",1
"BDB-000032760",1
"BDB-000032761",1
"BDB-000032762",2
"BDB-000032763",2
"BDB-000032764",2
"BDB-000032766",1
"BDB-000032768",2
"BDB-000032769",1
"BDB-000032770",1
"BDB-000032771",1
"BDB-000032772",1
"BDB-000032778",1
"BDB-000032782",1
"BDB-000032783",1
"BDB-000032784",1
"BDB-000032785",2
"BDB-000032786",1
"BDB-000032787",1
"BDB-000032788",2
"BDB-000032789",2
"BDB-000032790",2
"BDB-000032791",2
"BDB-000032792",2
"BDB-000032796",1
"BDB-000032797",1
"BDB-000032799",1
"BDB-000032800",1
"BDB-000032803",1
"BDB-000032814",2
"BDB-000032824",2
"BDB-000032826",2
"BDB-000032827",2
"BDB-000032828",2
"BDB-000032829",2
"BDB-000032830",2
"BDB-000032831",2
"BDB-000032832",2
"BDB-000032950",1
"BDB-000032951",1
"BDB-000032953",1
"BDB-000032955",1
"BDB-000032956",1
"BDB-000032957",1
"BDB-000032959",1
"BDB-000032969",2
"BDB-000032970",2
"BDB-000032971",2
"BDB-000032972",2
"BDB-000032973",2
"BDB-000032974",2
"BDB-000032975",2
"BDB-000032976",2
"BDB-000032977",2
"BDB-000032978",2
"BDB-000032979",2
"BDB-000032980",2
"BDB-000032981",1
"BDB-000032982",2
"BDB-000032983",2
"BDB-000032984",2
"BDB-000032985",2
"BDB-000032986",2
"BDB-000032987",1
"BDB-000032991",1
"BDB-000033000",1
"BDB-000033001",1
"BDB-000033003",1
"BDB-000033004",1
"BDB-000033005",1
"BDB-000033006",1
"BDB-000033007",1
"BDB-000033008",1
"BDB-000033014",2
"BDB-000033015",2
"BDB-000033016",2
"BDB-000033017",2
"BDB-000033018",2
"BDB-000033019",2
"BDB-000033020",2
"BDB-000033021",2
"BDB-000033022",1
"BDB-000033023",1
"BDB-000033025",1
"BDB-000033037",2
"BDB-000033038",2
"BDB-000033039",2
"BDB-000033050",2
"BDB-000033066",2
"BDB-000033067",2
"BDB-000033068",1
"BDB-000033069",1
"BDB-000033070",1
"BDB-000033071",2
"BDB-000033072",2
"BDB-000033073",2
"BDB-000033074",2
"BDB-000033075",2
"BDB-000033076",2
"BDB-000033077",2
"BDB-000033078",1
"BDB-000033079",2
"BDB-000033080",1
"BDB-000033081",2
"BDB-000033082",2
"BDB-000033083",2
"BDB-000033100",1
"BDB-000033101",1
"BDB-000033103",1
"BDB-000033104",1
"BDB-000033109",1
"BDB-000033112",2
"BDB-000033115",1
"BDB-000033116",2
"BDB-000033117",1
"BDB-000033118",1
"BDB-000033119",1
"BDB-000033120",1
"BDB-000033122",2
"BDB-000033123",2
"BDB-000033124",2
"BDB-000033125",2
"BDB-000033126",2
"BDB-000033127",2
"BDB-000033128",2
"BDB-000033129",2
"BDB-000033130",1
"BDB-000033131",2
"BDB-000033132",2
"BDB-000033133",2
"BDB-000033146",1
"BDB-000033147",1
"BDB-000033148",1
"BDB-000033149",1
"BDB-000033150",1
"BDB-000033151",1
"BDB-000033152",1
"BDB-000033153",1
"BDB-000033154",1
"BDB-000033155",1
"BDB-000033157",1
"BDB-000033160",1
"BDB-000033161",2
"BDB-000033162",1
"BDB-000033163",1
"BDB-000033164",2
"BDB-000033165",1
"BDB-000033167",1
"BDB-000033168",1
"BDB-000033169",1
"BDB-000033170",1
"BDB-000033171",1
"BDB-000033173",2
"BDB-000033176",2
"BDB-000033177",2
"BDB-000033178",2
"BDB-000033179",2
"BDB-000033180",2
"BDB-000033181",2
"BDB-000033183",2
"BDB-000033184",2
"BDB-000033186",2
"BDB-000033188",2
"BDB-000033189",2
"BDB-000033190",2
"BDB-000033191",2
"BDB-000033192",2
"BDB-000033193",2
"BDB-000033194",2
"BDB-000033220",2
"BDB-000033222",2
"BDB-000033225",1
"BDB-000033226",1
"BDB-000033227",2
"BDB-000033228",2
"BDB-000033229",1
"BDB-000033230",2
"BDB-000033232",2
"BDB-000033233",2
"BDB-000033234",2
"BDB-000033235",2
"BDB-000033236",2
"BDB-000033237",2
"BDB-000033238",2
"BDB-000033443",2
"BDB-000033445",2
"BDB-000033446",2
"BDB-000033700",1
"BDB-000033701",1
"BDB-000033702",1
"BDB-000033703",1
"BDB-000033704",1
"BDB-000033705",2
"BDB-000033706",2
"BDB-000033707",2
"BDB-000033708",2
"BDB-000033709",1
"BDB-000033710",1
"BDB-000033711",1
"BDB-000033712",1
"BDB-000033837",1
"BDB-000033838",1
"BDB-000034025",4
"BDB-000034026",1
"BDB-000034027",2
"BDB-000034029",1
"BDB-000034030",1
"BDB-000034031",1
"BDB-000034065",2
"BDB-000034183",3
"BDB-000034187",2
"BDB-000034188",3
"BDB-000034189",3
"BDB-000034190",2
"BDB-000034191",2
"BDB-000034192",3
"BDB-000034193",3
"BDB-000034196",2
"BDB-000034198",1
"BDB-000034199",4
"BDB-000034200",2
"BDB-000034209",2
"BDB-000034322",3
"BDB-000034323",2
"BDB-000034324",2
"BDB-000034325",2
"BDB-000034326",2
"BDB-000034327",2
"BDB-000034328",2
"BDB-000034329",2
"BDB-000034330",2
"BDB-000034331",1
"BDB-000034332",1
"BDB-000034333",1
"BDB-000034334",1
"BDB-000034335",1
"BDB-000034336",2
"BDB-000034337",2
"BDB-000034338",1
"BDB-000034339",1
"BDB-000034552",2
"BDB-000034555",2
"BDB-000034556",2
"BDB-000034559",2
"BDB-000034560",2
"BDB-000034607",1
"BDB-000034736",2
"BDB-000034738",2
"BDB-000034742",2
"BDB-000035079",1
"BDB-000035775",2
"BDB-000035776",1
"BDB-000035777",1
"BDB-000035778",1
"BDB-000035780",1
"BDB-000035781",1
"BDB-000035782",1
"BDB-000035783",1
"BDB-000035785",1
"BDB-000035786",1
"BDB-000035787",1
"BDB-000035788",1
"BDB-000035789",1
"BDB-000035790",1
